HOBBIES,count
Australian Football League,1
Theater Sports,1
Theater/Performing Arts,1
Theatre,1
Vacation cruises,1
Vacations,1
Veterans,1
Video games,1
DVD,1
Video,1
Touch football,1
Toys,1
Track &amp,1
Field,1
Trap,1
Travel,1
Travel games,1
Traveling and exploration,1
Treasure hunting,1
Tree climbing,1
Archery/Crossbow,1
Architecture,1
Walking and Hiking,1
Walking/health,1
Wall Art,1
Want further mailings,1
Wargames,1
Warships,1
Watching Movies,1
Watching Sports,1
Watching TV,1
Trekking,1
Turtle,1
Tutoring,1
Types of Recreation,1
US Travel,1
Vintage Books,1
Vintage car,1
Vintage clothing,1
Vitamin supplements,1
Volunteering,1
Autographs,1
Automotive work/repair,1
BMX tricks,1
Back packing,1
Backgamon,1
Badge Collecting,1
Baking,1
Ballet,1
Aquariums,1
Arcade Games,1
Archaeology,1
Word games,1
World news or politics,1
Worship Team,1
Yachting,1
Water Polo,1
Water Skiing,1
Watercolor Paintings,1
Weather Forecasting,1
Weaving,1
Websites,1
Weight training,1
White Water Rafting,1
Whitewater rafting,1
Wildlife safari,1
Wildlife,1
Wind Surfing,1
cooperative games,1
courses,1
deck building games,1
insects,1
knotting,1
leaves,1
magician,1
angling/Fly fishing,1
real time games,1
Windsurfing Kayaking,1
Wine Appreciation,1
Wine tasting,1
Wines,1
Wingsuit flying,1
Wood Carving,1
Wood Working,1
Aeromodeling,1
Aircraft Spotting,1
Airsofting,1
Animal fancy,1
dogs,1
pets,1
Animals,1
Aqua-lung,1
Aquarium,1
Arts,1
Backgammon,1
Base Jumping,1
Baseball,1
Youth Band,1
Youth Group,1
Yoyo,1
Sun tanning,1
Beach,1
Beachcombing,1
Beadwork,1
Beatboxing,1
Beekeeping,1
Bell Ringing,1
Belly Dancing,1
Bicycle Polo,1
Bicycling,1
Billiards,1
Bird watching,1
Birding,1
rocks,1
strategy games,1
thematic games,1
BMX,1
Board games,1
Board sports,1
BoardGames,1
Boating,1
Body Building,1
Bodybuilding,1
Bonsai Tree,1
Book collecting,1
Bookbinding,1
Boomerangs,1
Bowling,1
Boxing,1
Basketball,1
Baton Twirling,1
Beach Volleyball,1
Bridge,1
Bridge Building,1
Bringing Food To The Disabled,1
Building Dollhouses,1
Bus spotting,1
Butterfly Watching,1
Button Collecting,1
Cake Decorating,1
Calligraphy,1
Camping,1
Candle making,1
Canoeing,1
Car Racing,1
Birdwatching,1
Blacksmithing,1
Blogging,1
Cave Diving,1
Ceramics,1
Cheerleading,1
Chess,1
Church/church activities,1
Cigar Smoking,1
Climbing,1
Cloud Watching,1
Coin Collecting,1
Collecting,1
Collecting Antiques,1
Collecting Artwork,1
Collecting Hats,1
Brazilian jiu-jitsu,1
Breakdancing,1
Brewing Beer,1
Collecting Swords,1
Color guard,1
Coloring,1
Comic book collecting,1
Compose Music,1
Computer activities,1
Computer programming,1
Conworlding,1
Cooking,1
Cosplay,1
Cosplaying,1
Couponing,1
Crafts,1
Card collecting,1
Cartooning,1
Casino Gambling,1
Crocheting,1
Cross-Stitch,1
Crossword Puzzles,1
Cryptography,1
Curling,1
Cycling,1
Dance,1
Dancing,1
Darts,1
Debate,1
Deltiology,1
Diecast Collectibles,1
Digital arts,1
Collecting Music Albums,1
Collecting RPM Records,1
Collecting Sports Cards,1
Dodgeball,1
Dog sport,1
Dolls,1
Dominoes,1
Dowsing,1
Drama,1
Drawing,1
Driving,1
Dumpster Diving,1
Eating out,1
Educational Courses,1
Electronics,1
Element collecting,1
Creative writing,1
Cricket,1
Crochet,1
aerobics,1
Exercise,1
Exhibition drill,1
Falconry,1
Fast cars,1
Felting,1
Fencing,1
Field hockey,1
Figure skating,1
Fire Poi,1
Fishing,1
Fishkeeping,1
Flag Football,1
Digital Photography,1
Disc golf,1
Do it yourself,1
Flower collecting and pressing,1
Fly Tying,1
Flying,1
Footbag,1
Football,1
Foraging,1
Foreign language learning,1
Fossil hunting,1
Four Wheeling,1
Freshwater Aquariums,1
Frisbee Golf,1
Gambling,1
Games,1
Embroidery,1
Entertaining,1
Equestrianism,1
Genealogy,1
Geocaching,1
Ghost hunting,1
Glassblowing,1
Glowsticking,1
Gnoming,1
Going to movies,1
Golf,1
Golfing,1
Gongoozling,1
Graffiti,1
Grip Strength,1
Guitar,1
Floorball,1
Floral Arrangements,1
Flower arranging,1
Gyotaku,1
Handball,1
Handwriting Analysis,1
Hang gliding,1
Herping,1
Hiking,1
Home Brewing,1
Home Repair,1
Home Theater,1
Homebrewing,1
Hooping,1
Horse riding,1
Hot air ballooning,1
Gaming,1
Garage Saleing,1
Gardening,1
Ice skating,1
Iceskating,1
Illusion,1
Impersonations,1
Inline skating,1
Insect collecting,1
Internet,1
Inventing,1
Jet Engines,1
Jewelry Making,1
Jigsaw Puzzles,1
Jogging,1
Judo,1
Gun Collecting,1
Gunsmithing,1
Gymnastics,1
Kabaddi,1
Kart racing,1
Kayaking,1
Keep A Journal,1
Kitchen Chemistry,1
Kite Boarding,1
Kite flying,1
Kites,1
Kitesurfing,1
Knapping,1
Knife making,1
Knife throwing,1
Knitting,1
Hula Hooping,1
Hunting,1
Ice hockey,1
Lapidary,1
LARPing,1
Laser tag,1
Lasers,1
Lawn Darts,1
Learn to Play Poker,1
Learning A Foreign Language,1
Learning An Instrument,1
Learning To Pilot A Plane,1
Leather crafting,1
Leathercrafting,1
Lego building,1
Legos,1
Juggling,1
Jukskei,1
Jump Roping,1
Machining,1
Macramé,1
Macrame,1
Magic,1
Mahjong,1
Making Model Cars,1
Marbles,1
Marksmanship,1
Martial arts,1
Matchstick Modeling,1
Meditation,1
Metal detecting,1
Meteorology,1
Knotting,1
Lacemaking,1
Lacrosse,1
Model building,1
Model Railroading,1
Model Rockets,1
Modeling Ships,1
Models,1
Motor sports,1
Motorcycles,1
Mountain Biking,1
Mountain Climbing,1
Mountaineering,1
Movie and movie memorabilia collecting,1
Mushroom hunting/Mycology,1
Musical Instruments,1
Letterboxing,1
Listening to music,1
Locksport,1
Nordic skating,1
Orienteering,1
Origami,1
Owning An Antique Car,1
Paintball,1
Painting,1
Papermache,1
Papermaking,1
Parachuting,1
Paragliding or Power Paragliding,1
Parkour,1
People Watching,1
Photography,1
Microscopy,1
Mineral collecting,1
Model aircraft,1
Pipe Smoking,1
Planking,1
Playing music,1
Playing musical instruments,1
Playing team sports,1
Poker,1
Pole Dancing,1
Polo,1
Pottery,1
Powerboking,1
Protesting,1
Puppetry,1
Puzzles,1
Nail Art,1
Needlepoint,1
Netball,1
R/C Cars,1
R/C Helicopters,1
R/C Planes,1
Racing Pigeons,1
Racquetball,1
Radio-controlled car racing,1
Rafting,1
Railfans,1
Rappelling,1
Rapping,1
Reading,1
Reading To The Elderly,1
Record collecting,1
Piano,1
Pigeon racing,1
Pinochle,1
Rescuing Abused,1
Abandoned Animals,1
Robotics,1
Rock balancing,1
Rock climbing,1
Rock Collecting,1
Rockets,1
Rocking AIDS Babies,1
Roleplaying,1
Roller derby,1
Roller skating,1
Rugby,1
Rugby league football,1
Pyrotechnics,1
Quilting,1
R/C Boats,1
Sand art,1
Sand Castles,1
Scrapbooking,1
Sea glass collecting,1
Self Defense,1
Shark Fishing,1
Shooting,1
Singing In Choir,1
Skeet Shooting,1
Sketching,1
Skimboarding,1
Sky Diving,1
Slack Lining,1
Relaxing,1
Renaissance Faire,1
Renting movies,1
Tai chi,1
Tatting,1
Tea Tasting,1
Speed Cubing,1
Speed skating,1
Spelunkering,1
Spending time with family/kids,1
Stand-up comedy,1
Stone skipping,1
Storm Chasing,1
Storytelling,1
String Figures,1
Sudoku,1
Running,1
Sailing,1
Saltwater Aquariums,1
All-Terrain vehicles,1
Alternate reality games,1
Alternative,1
Ziplining,1
Action Figures,1
Adventure park,1
Watching sporting events,1
Weather Watcher,1
Web surfing,1
Wood carving,1
Working In A Food Pantry,1
Working on cars,1
World Record Breaking,1
Writing Music,1
Writing Songs,1
Slacklining,1
Volunteer,1
Warhammer,1
Tesla Coils,1
Tetris,1
Textiles,1
Tombstone Rubbing,1
Tool Collecting,1
Toy Collecting,1
Train Collecting,1
Triathlon,1
Tutoring Children,1
TV watching,1
Aircraft spotting,1
Aircraft,1
Air hockey,1
Aerobics,1
